gen,n_total,n_feasible,feasible_ratio,basis,J1_min,J1_mean,J1_max,J1_span,J2_min,J2_mean,J2_max,J2_span,J3_min,J3_mean,J3_max,J3_span,J4_min,J4_mean,J4_max,J4_span,J5_min,J5_mean,J5_max,J5_span,J1_improve_from_prev,J2_improve_from_prev,J3_improve_from_prev,J4_improve_from_prev,J5_improve_from_prev
21,100,100,1.0,feasible,0.7203926330574365,0.7645082123476297,0.8167709520107014,0.09637831895326487,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7090885628919996,0.8503196247999997,0.2120318642000001,0.0,0.07313727282181609,0.20544591691724134,0.20544591691724134,0.1456808318886692,0.44931515559724594,1.0,0.8543191681113308,0.0,0.0,0.0,0.0,0.0
22,100,100,1.0,feasible,0.7203926330574365,0.7636571996831367,0.8167709520107014,0.09637831895326487,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7080469340139998,0.8503196247999997,0.2120318642000001,0.0,0.07319264838188276,0.20544591691724134,0.20544591691724134,0.1456808318886692,0.4604094240686255,1.0,0.8543191681113308,0.0,0.0,0.0,0.0,0.0
23,100,100,1.0,feasible,0.7203926330574365,0.7654086954744587,0.8167709520107014,0.09637831895326487,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7115031411619996,0.8530517999999996,0.2147640394,0.0,0.07187324575349195,0.20544591691724134,0.20544591691724134,0.1456808318886692,0.44772891726014236,1.0,0.8543191681113308,0.0,0.0,0.0,0.0,0.0
24,100,100,1.0,feasible,0.7203926330574365,0.763647157948332,0.8167709520107014,0.09637831895326487,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7102544395239996,0.8530517999999996,0.2147640394,0.0,0.07201516752466207,0.20544591691724134,0.20544591691724134,0.1456808318886692,0.4587117596617134,1.0,0.8543191681113308,0.0,0.0,0.0,0.0,0.0
25,100,100,1.0,feasible,0.7203926330574365,0.7656954847955858,0.8170886288771843,0.09669599581974775,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7149277295519996,0.8530517999999996,0.2147640394,0.0,0.07254992779151266,0.20544591691724134,0.20544591691724134,0.14473073508729306,0.4431690958793435,1.0,0.8552692649127069,0.0,0.0,0.0,0.0,0.0009500968013761435
26,100,100,1.0,feasible,0.7203926330574365,0.7653638762628545,0.8170886288771843,0.09669599581974775,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7132296425759996,0.8543376443999996,0.2160498838,0.0,0.07507194086353794,0.2054642862804598,0.2054642862804598,0.14404352952691674,0.4451238536074952,1.0,0.8559564704730833,0.0,0.0,0.0,0.0,0.000687205560376325
27,100,100,1.0,feasible,0.7203926330574365,0.7642811053248056,0.8188549870412173,0.09846235398378078,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7129160327419996,0.8543376443999996,0.2160498838,0.0,0.07239514240297701,0.2239392689195402,0.2239392689195402,0.1431354965105101,0.46678707478673204,1.0,0.85686450348949,0.0,0.0,0.0,0.0,0.0009080330164066286
28,100,100,1.0,feasible,0.7203926330574365,0.767130932317532,0.8188549870412173,0.09846235398378078,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7176228813659996,0.8543376443999996,0.2160498838,0.0,0.07790150349947356,0.2239392689195402,0.2239392689195402,0.1431354965105101,0.4345163466164231,1.0,0.85686450348949,0.0,0.0,0.0,0.0,0.0
29,100,100,1.0,feasible,0.7203926330574365,0.7652250572627705,0.8188549870412173,0.09846235398378078,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7118198297739997,0.8503196247999997,0.2120318642000001,0.0,0.08202479376230805,0.2239392689195402,0.2239392689195402,0.1431354965105101,0.4358450167444804,1.0,0.85686450348949,0.0,0.0,0.0,0.0,0.0
30,100,100,1.0,feasible,0.7203926330574365,0.7626158825382493,0.8188549870412173,0.09846235398378078,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.0,0.6382877605999996,0.7110676670019994,0.8503196247999997,0.2120318642000001,0.0,0.06843287222269655,0.2199256915609195,0.2199256915609195,0.1431354965105101,0.4698609833511338,1.0,0.85686450348949,0.0,0.0,0.0,0.0,0.0
